job	n_mut	iptm_nb	d_iptm	ipsae	ipsae_src	d_ipsae	ipsae_d0chn	ipsae_d0dom	pdockq2	d_pdockq2	pdockq	lis	iptm_ag	ptm	iptm_d0chn	nb_plddt	cdr3_plddt	d_cdr3	iface_pae	n_contacts	dockq	n_models
7oao_m_v07	1	0.440945		0.012634	공식		0.364623	0.132207	0.0286		0.1721	0.0822	0.406529	0.748188	0.197337	86.9061	68.7157		12.0195	47		1
7oao_m_v08	2	0.320687		0	공식		0	0	0.0176		0.0669	0.0371	0.299183	0.706248	0.141957	83.2826	60.6199		14.1852	32		1
7oao_m_v09	3	0.339213		0.010065	공식		0.313892	0.010065	0.0181		0.1189	0.0425	0.326591	0.712455	0.142849	81.865	57.7372		14.8344	49		1
7oao_m_v10	1	0.23222		0	공식		0	0	0.0149		0.1574	0	0.201242	0.671575	0.103	85.7112	62.0137		17.0088	46		1
7oao_m_v11	2	0.202582		0	공식		0	0	0.0133		0.0981	0	0.207961	0.662271	0.09633	84.6524	60.1209		20.1027	37		1
7oao_m_v12	3	0.71859		0.371947	공식		0.532601	0.511657	0.1358		0.1696	0.3227	0.665543	0.859122	0.516081	82.9042	54.3547		5.91721	51		1
7oao_m_v13	1	0.201115		0	공식		0	0	0.0134		0.1023	0	0.195172	0.661027	0.097508	84.386	59.0436		18.8414	41		1
7oao_m_v14	2	0.578339		0.102585	공식		0.37952	0.29869	0.0426		0.1127	0.1202	0.485429	0.797979	0.31915	81.1354	53.467		9.25933	46		1
7oao_m_v15	3	0.404983		0.010577	공식		0.32478	0.010577	0.0236		0.1277	0.0443	0.369032	0.735308	0.164498	87.0537	70.896		14.1445	35		1
7oao_m_v16	1	0.390495		0.010727	공식		0.327921	0.010727	0.021		0.1505	0.0476	0.363933	0.730364	0.161189	85.5203	66.1203		13.5566	51		1
7oao_m_v17	2	0.491186		0.012994	공식		0.370135	0.182328	0.0395		0.1978	0.0987	0.443423	0.768186	0.230257	87.9921	75.1862		10.957	44		1
7oao_m_v18	3	0.598894		0.20493	공식		0.400308	0.331164	0.0404		0.0889	0.1473	0.556187	0.805755	0.332419	79.0279	54.8692		9.34771	53		1
7oao_m_v19	1	0.770426		0.469339	공식		0.630599	0.616297	0.1689		0.1135	0.4099	0.717829	0.883379	0.609969	84.7887	59.976		4.58721	43		1
7oao_m_v20	2	0.239732		0	공식		0	0	0.0155		0.0641	0	0.239233	0.674861	0.10737	83.8154	60.6995		17.2419	26		1
